iteración,n,modelo,op_asignaciones,op_comparaciones,op_aritmeticas,op_totales
286,2500,6664,28,4980,0,5008
287,2500,6664,23,4982,0,5005
288,2500,6664,13,4989,0,5002
289,2500,6664,25,4980,0,5005
290,2500,6664,21,4985,0,5006
291,2500,6664,26,4983,0,5009
292,2500,6664,24,4982,0,5006
293,2500,6664,17,4987,0,5004
294,2500,6664,28,4979,0,5007
295,2500,6664,25,4981,0,5006
296,2500,6664,21,4985,0,5006
297,2500,6664,31,4977,0,5008
298,2500,6664,19,4984,0,5003
299,2500,6664,17,4987,0,5004
300,2500,6664,17,4988,0,5005
301,2500,6664,28,4981,0,5009
302,2500,6664,24,4984,0,5008
303,2500,6664,24,4982,0,5006
304,2500,6664,21,4986,0,5007
305,2500,6664,26,4981,0,5007
306,2500,6664,12,4989,0,5001
307,2500,6664,21,4983,0,5004
308,2500,6664,31,4977,0,5008
309,2500,6664,28,4980,0,5008
310,2500,6664,20,4986,0,5006
311,2500,6664,24,4983,0,5007
312,2500,6664,38,4974,0,5012
313,2500,6664,17,4987,0,5004
314,2500,6664,15,4987,0,5002
315,2500,6664,23,4983,0,5006
316,2500,6664,14,4987,0,5001
317,2500,6664,29,4980,0,5009
318,2500,6664,17,4987,0,5004
319,2500,6664,29,4979,0,5008
320,2500,6664,20,4984,0,5004
321,2500,6664,38,4974,0,5012
322,2500,6664,21,4986,0,5007
323,2500,6664,27,4982,0,5009
324,2500,6664,17,4987,0,5004
325,2500,6664,26,4981,0,5007
326,2500,6664,35,4978,0,5013
327,2500,6664,32,4978,0,5010
328,2500,6664,20,4985,0,5005
329,2500,6664,25,4982,0,5007
330,2500,6664,26,4981,0,5007
331,2500,6664,23,4985,0,5008
332,2500,6664,7,4993,0,5000
333,2500,6664,19,4985,0,5004
334,2500,6664,23,4984,0,5007
335,2500,6664,16,4989,0,5005
336,2500,6664,17,4985,0,5002
337,2500,6664,27,4980,0,5007
338,2500,6664,29,4979,0,5008
339,2500,6664,19,4987,0,5006
340,2500,6664,20,4985,0,5005
341,2500,6664,27,4979,0,5006
342,2500,6664,22,4983,0,5005
343,2500,6664,19,4987,0,5006
344,2500,6664,26,4981,0,5007
345,2500,6664,24,4982,0,5006
346,2500,6664,14,4989,0,5003
347,2500,6664,22,4983,0,5005
348,2500,6664,17,4987,0,5004
349,2500,6664,28,4978,0,5006
350,2500,6664,25,4983,0,5008
351,2500,6664,24,4980,0,5004
352,2500,6664,21,4984,0,5005
353,2500,6664,27,4980,0,5007
354,2500,6664,17,4986,0,5003
355,2500,6664,17,4986,0,5003
356,2500,6664,25,4979,0,5004
357,2500,6664,12,4990,0,5002
358,2500,6664,30,4978,0,5008
359,2500,6664,23,4982,0,5005
360,2500,6664,19,4986,0,5005
361,2500,6664,30,4978,0,5008
362,2500,6664,22,4985,0,5007
363,2500,6664,19,4986,0,5005
364,2500,6664,27,4981,0,5008
365,2500,6664,21,4984,0,5005
366,2500,6664,23,4983,0,5006
367,2500,6664,17,4985,0,5002
368,2500,6664,23,4983,0,5006
369,2500,6664,16,4987,0,5003
370,2500,6664,17,4987,0,5004
371,2500,6664,22,4982,0,5004
372,2500,6664,28,4981,0,5009
373,2500,6664,23,4983,0,5006
374,2500,6664,18,4986,0,5004
375,2500,6664,17,4986,0,5003
376,2500,6664,14,4990,0,5004
377,2500,6664,22,4983,0,5005
378,2500,6664,20,4987,0,5007
379,2500,6664,24,4980,0,5004
380,2500,6664,23,4984,0,5007
381,2500,6664,20,4986,0,5006
